Date,Time,Currency,Impact,Event,Previous,Forecast,Actual
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,05::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,08::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,08::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,11::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,14::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,14::59,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,16::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,21::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,23::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,02::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,13::58,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,16::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan25.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,08::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,11::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,19::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan26.2023,23::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,12::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,08::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan27.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan28.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan28.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan29.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan29.2023,21::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,08::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,14::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,23::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan30.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,01::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,05::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan31.2023,05::02,N/A,N/A,N/A,N/A,N/A,N/A
